Beach,Price,Beds,Baths,SqFt,PriceSqft
1,1975000,4,3,2287,864
0,775000,5,3,2352,330
0,260000,2,1.5,860,302
0,585000,3,2,1694,345
1,1479000,2,2,1213,1219
1,1849000,3,2,1558,1187
0,629900,4,2,1475,427
1,4999000,4,4,3495,1430
0,1599999,4,3.5,3816,419
0,1599999,4,3.5,3816,419
0,965000,4,3,2943,328
0,310000,2,1.5,1100,282
1,3899000,4,4.5,3337,1168
0,239900,2,1.5,934,257
1,2295000,3,2,2166,1060
0,850000,4,3.5,2408,353
0,745000,5,3,1870,398
1,5299000,7,6.5,4954,1070
0,689000,4,2,2024,340
0,835000,4,2.5,2481,337
0,1700000,5,4.5,4303,395
0,1700000,5,4.5,4303,395
0,749000,4,3,2423,309
1,2349000,2,2.5,2234,1051
1,1895000,2,2.5,1644,1153
1,1329000,2,2.5,1841,722
1,1175000,2,2.5,1884,624
1,1699900,2,2.5,2189,777
1,2125000,2,2.5,2189,971
1,1495000,4,3.5,3000,498
1,2075000,2,2.5,1751,1185
1,2950000,3,3,2368,1246
1,5299000,6,6.5,4452,1190
0,825000,4,4,3167,260
0,629000,3,2.5,1570,401
1,2350000,3,2.5,2144,1096
1,2789000,3,4.5,2760,1011
1,1740000,3,3.5,2142,812
0,69900,2,2,1440,49
0,425000,3,2,1216,350
0,559900,3,2.5,1711,327
0,689000,4,2.5,2145,321
0,1200000,4,3.5,3850,312
1,1449000,2,2.5,1404,1032
0,739000,4,3,2489,297
1,7300000,4,5.5,6562,1112
0,750000,4,2.5,2462,305
0,30000,2,1,800,38
0,45900,2,1,880,52
0,34000,1,1,504,67
0,45000,1,1,672,67
0,579000,3,2.5,2039,284
0,699700,4,2.5,2863,244
0,669000,3,2.5,1711,391
1,1297000,3,2.5,1980,655
1,1360000,3,2.5,2100,648
0,415000,2,2.5,1220,340
0,110000,3,2,1112,99
0,35000,2,1,651,54
0,449000,3,2,792,567
1,859000,2,1,642,1338
1,2548000,4,3,2265,1125
0,335000,2,2,850,394
1,1225000,2,1,899,1363
1,2995000,5,3.5,3320,902
0,699900,3,2,2051,341
0,1200000,6,3.5,4046,297
0,295000,2,2,1088,271
0,999000,6,5,3699,270
0,115000,3,2,1056,109
0,179900,4,2,1560,115
0,79990,4,2,1440,56
0,288999,2,1.5,1024,282
0,68000,3,2,1440,47
0,64900,3,2,1440,45
0,275000,2,1.5,1024,269
0,649999,3,1.5,1841,353
1,3595000,5,3.5,3986,902
0,482650,3,2.5,1874,258
0,559900,3,3,1706,328
0,125000,3,2,1350,93
0,525000,3,2,1377,381
0,1150000,4,4,4126,279
0,998000,5,3.5,3718,268
0,1195000,6,6,3000,398
0,729000,4,2.5,2586,282
0,1050000,4,3.5,4819,218
0,329999,2,2.5,1268,260
0,344900,2,2,1162,297
0,545000,4,2,1530,356
0,599900,4,2,2200,273
0,565000,3,2,1630,347
1,1500000,6,3.5,2800,536
0,222000,1,1,597,372
0,499000,2,1,640,780
0,120000,3,2,1344,89
0,619000,5,2,1907,325
0,405000,3,2.5,1178,344
0,435000,3,1,1287,338
1,2100000,4,3.5,3396,618
1,3900000,4,3.5,4211,926
1,4800000,3,3,1679,2859
1,3000000,2,2,1236,2427
0,999000,5,4.5,3578,279
1,2199000,4,3,1738,1265
0,515000,3,1,1008,511
0,1539000,4,4,4500,342
0,215000,3,2,1500,143
0,199750,2,2,1152,173
0,345000,3,2,1493,231
0,225000,2,2,1120,201
0,160000,2,2,1440,111
0,679000,3,2,1912,355
0,925000,5,4,3548,261
0,675000,6,3,2264,298
0,999000,4,4.5,4125,242
0,189000,3,2,1272,149
0,224900,1,1,732,307
0,519000,3,2,1340,387
0,625000,4,2,2055,304
0,610000,4,3,1714,356
1,4175000,4,4.5,3305,1263
0,395000,2,1.5,1063,372
0,255000,2,1.5,1096,233
0,799900,4,2.5,2376,337
0,799000,6,3.5,3363,238
0,799000,6,3.5,3363,238
1,1895000,2,2,1360,1393
0,920000,6,3.5,3080,299
1,1780000,2,2,1400,1271
1,2519000,2,2,1333,1890
1,3595000,3,3,1877,1915
1,1949000,1,1.5,884,2205
1,3795000,3,2.5,1991,1906
0,535000,3,2,1290,415
1,2295000,2,2.5,1668,1376
1,2100000,2,2.5,1400,1500
1,1875000,2,2,1270,1476
1,1789000,1,1,1031,1735
0,839000,4,4,2105,399
1,1250000,3,2,1665,751
0,567900,4,2.5,1724,329
0,729900,4,2.5,2296,318
1,1679000,2,2,1194,1406
1,2199000,3,3,1697,1296
1,998000,1,1,756,1320
0,888000,4,3.5,3110,286
0,999900,7,4.5,4401,227
0,695900,4,2.5,1810,384
1,6750000,5,6.5,6476,1042
1,7999000,5,5,5200,1538
1,5250000,5,5.5,4200,1250
0,1799999,6,5,6106,295
1,3625000,4,4.5,4119,880
0,774900,4,2,1929,402
1,3848000,5,4,3783,1017
0,590000,3,2,1674,352
1,3995000,9,9.5,4838,826
1,1375000,4,3,2667,516
0,910000,4,3.5,3040,299
0,699900,4,2.5,2492,281
1,1099000,2,2,1534,716
1,2850000,4,5,3647,781
1,1985000,4,3.5,2810,706
1,3800000,4,5.5,5527,688
0,310000,2,2,948,327
0,765900,4,3,2546,301
1,1165000,3,2.5,1830,637
0,321900,3,1,1035,311
0,549000,3,2,1589,346
1,1125000,3,2,1786,630
0,750000,1,1,639,1174
0,454000,3,2.5,1700,267
1,789000,2,2,1091,723
1,799000,2,2,1087,735
0,850000,5,3,3600,236
0,1150000,5,3.5,3302,348
0,789000,4,3,2546,310
1,3495000,4,4.5,3780,925
1,1550000,2,2,1269,1221
1,1095000,3,2,1847,593
0,339000,1,0.5,600,565
1,1155000,2,2,1632,708
0,560000,4,3,2000,280
0,23500,1,1,480,49
0,589000,3,2,1994,295
0,849000,5,2.5,2777,306
0,659900,3,2,1362,485
1,1195000,4,2,1786,669
0,49000,2,2,1080,45
1,2000000,4,3,2600,769
0,769900,3,2.5,2360,326
0,174990,3,2,1323,132
0,129900,2,2,960,135
0,799000,4,3,1700,470
1,1732500,3,2,1798,964
0,649995,3,2,1666,390
1,3135000,5,5,3077,1019
0,525000,2,2,1150,457
0,825000,5,4,2800,295
0,849900,4,2.5,2754,309
1,809000,1,1,534,1515
0,2499000,5,5.5,5440,459
0,260000,2,1.5,900,289
0,425000,3,1.5,1036,410
0,284900,2,1.5,928,307
0,649000,2,2,936,693
0,70000,2,2,756,93
0,30000,2,2,1324,23
0,175000,2,2,1980,88
0,329999,2,1.5,1002,329
0,349000,3,2,1017,343
0,848500,4,3.5,3557,239
0,260000,2,1.5,925,281
0,599900,3,3,2418,248
0,938000,6,3.5,3236,290
0,219900,1,1,710,310
0,459000,2,1,772,595
0,534900,2,1,750,713
0,214900,1,1,710,303
0,213000,1,1,710,300
0,775000,4,4,1908,406
0,469000,2,2,1425,329
0,269000,2,1.5,925,291
0,258999,2,1.5,900,288
1,4699000,7,6.5,6878,683
0,735000,4,3,2179,337
0,359900,2,1.5,1050,343
0,619000,3,2,1769,350
1,939000,2,2,1534,612
0,329000,2,2,1052,313
0,258999,2,1.5,900,288
0,1100000,5,4,3200,344
0,299000,2,2,907,330
0,280000,2,1.5,912,307
0,424900,3,2,1431,297
0,279000,2,1.5,900,310
1,719000,2,2,1060,678
0,699000,3,2,1880,372
1,1725000,2,2,1500,1150
0,824000,8,4,2900,284
0,479000,3,3,1626,295
1,795000,2,2,1060,750
0,1125000,3,2,2371,474
0,1125000,3,2,2371,474
0,889000,4,4.5,4019,221
0,369900,3,1.5,1302,284
1,3900000,5,5.5,3585,1088
1,7950000,8,4,3280,2424
1,2498000,3,2.5,2666,937
1,1050000,3,2.5,1214,865
0,369500,2,2,947,390
0,389000,3,2,1370,284
0,260000,1,1,671,387
0,295000,1,1,621,475
0,358900,2,2,1105,325
0,425000,2,1.5,1187,358
1,3995000,5,3.5,4000,999
0,475000,3,1.5,1400,339
0,639000,4,2,1528,418
0,699000,4,2.5,1936,361
1,4475000,5,5.5,6083,736
0,649900,4,4,1693,384
1,2895000,5,3.5,3259,888
0,839000,4,3,2506,335
0,719000,3,2,2101,342
0,635000,3,2,1432,443
1,1250000,3,2,1729,723
0,549900,3,2,1050,524
0,565000,3,1.5,1082,522
0,585000,3,2,1422,411
0,559900,5,3,3000,187
1,2195000,4,3.5,2430,903
0,649900,4,2,1538,423
0,649900,4,2,1538,423
0,695000,4,2,2945,236
1,795000,2,2.5,1471,540
0,849900,3,2.5,2423,351
0,285000,2,2,876,325
0,499000,3,2,1304,383
0,375000,2,2,1200,313
1,1950000,4,3.5,2448,797
0,799000,5,3.5,2650,302
1,2395000,3,2.5,1616,1482
0,130000,3,2,1620,80
0,550000,3,2,1421,387
0,848888,5,2.5,2669,318
1,8900000,6,4.5,5100,1745
0,555000,3,2,912,609
0,499000,3,1,1036,482
0,319900,2,1.5,1004,319
0,625000,4,2,2068,302
0,849990,4,3,2728,312
0,719000,4,2,1458,493
1,1845000,3,3,1905,969
0,485000,3,2.5,1552,313
0,435000,2,2.5,1313,331
0,560000,2,1,1062,527
0,750000,4,2.5,2204,340
0,439000,3,2,1321,332
0,825000,3,2.5,1622,509
0,789900,3,2,2182,362
1,4990000,5,6,4461,1119
0,212500,1,1,460,462
0,830000,4,3.5,2414,344
0,540000,4,2,1251,432
0,750000,4,3,2298,326
1,1197000,3,2.5,1421,842
0,759000,3,2,3742,203
0,624000,5,2.5,2388,261
0,499000,3,2,1704,293
0,279000,2,2,950,294
0,400000,1,1,960,417
0,475000,3,2.5,1482,321
1,2325000,4,4.5,2186,1064
0,575000,4,3,1775,324
1,869000,2,1.5,992,876
0,725000,3,3,2300,315
1,2750000,4,4.5,2651,1037
0,749999,3,2.5,1806,415
0,544000,4,2.5,1717,317
0,749900,6,3.5,2700,278
0,929000,3,3,3127,297
0,595000,3,2,1548,384
0,949900,5,4,4117,231
1,3995000,4,4.5,4925,811
0,239900,2,2,850,282
0,529999,3,2,1398,379
0,639000,4,2,1556,411
0,974900,5,4,4594,212
0,809900,5,3.5,2878,281
0,232000,1,1,625,371
0,850000,4,3,2288,372
1,2995000,6,4.5,3965,755
0,849000,4,3,3020,281
1,945000,3,2,1729,547
0,849000,9,2,1680,505
0,649900,2,1,1029,632
1,1695000,2,1,1008,1682
0,1599800,4,5,4375,366
1,4545000,7,4.5,3547,1281
1,1029000,3,2,1659,620
0,574950,3,2,1250,460
0,394999,3,2.5,1525,259
0,650900,3,2.5,1504,433
0,572900,4,2.5,1810,317
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,2775000,4,5,3027,917
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,859000,5,3,2000,430
